12-05 21:39:24: Training starting...
12-05 21:39:26: New best reward -19.2 (-100.0%) at episode 0, saving model...
12-05 21:39:26: New best reward -18.1 (-5.7%) at episode 1, saving model...
12-05 21:39:26: New best reward -15.9 (-12.2%) at episode 3, saving model...
12-05 21:39:26: New best reward -14.8 (-6.9%) at episode 6, saving model...
12-05 21:39:26: New best reward -13.7 (-7.4%) at episode 9, saving model...
12-05 21:39:26: New best reward -3.8 (-72.3%) at episode 17, saving model...
12-05 21:39:36: New best reward 3.9 (-202.6%) at episode 1488, saving model...
12-05 21:40:27: New best reward 4.6 (+17.9%) at episode 8167, saving model...
12-05 21:40:48: New best reward 4.8 (+4.3%) at episode 10624, saving model...
12-05 21:40:58: New best reward 10.3 (+114.6%) at episode 11830, saving model...
12-05 21:41:31: New best reward 12.4 (+20.4%) at episode 15313, saving model...
12-05 21:42:10: New best reward 12.6 (+1.6%) at episode 19000, saving model...
12-05 21:42:46: New best reward 18.5 (+46.8%) at episode 22435, saving model...
12-05 21:42:50: New best reward 20.9 (+13.0%) at episode 22886, saving model...
12-05 21:46:17: New best reward 29.9 (+43.1%) at episode 39398, saving model...
12-05 21:49:08: New best reward 30.4 (+1.7%) at episode 52404, saving model...
12-05 21:49:23: New best reward 39.6 (+30.3%) at episode 53545, saving model...
12-05 21:51:13: New best reward 46.9 (+18.4%) at episode 61395, saving model...
12-05 21:54:04: New best reward 47.4 (+1.1%) at episode 72784, saving model...
12-05 21:54:24: New best reward 56.8 (+19.8%) at episode 73977, saving model...
12-05 21:55:11: New best reward 82.2 (+44.7%) at episode 76771, saving model...
12-05 21:58:35: New best reward 96.7 (+17.6%) at episode 86192, saving model...
12-05 21:59:37: New best reward 125.3 (+29.6%) at episode 89205, saving model...
12-05 22:01:15: New best reward 150.9 (+20.4%) at episode 93614, saving model...
12-05 22:01:42: New best reward 228.9 (+51.7%) at episode 94836, saving model...
12-05 22:21:03: New best reward 306.9 (+34.1%) at episode 137802, saving model...
12-06 06:59:30: New best reward 368.9 (+20.2%) at episode 259021, saving model...
